"S2504_C03_010E","Renter-occupied housing units!!Estimate!!YEAR STRUCTURE BUILT!!2000 to 2009",
"S2504_C03_010M","Renter-occupied housing units!!Margin of Error!!YEAR STRUCTURE BUILT!!2000 to 2009",
"S2504_C03_011E","Renter-occupied housing units!!Estimate!!YEAR STRUCTURE BUILT!!1980 to 1999",
"S2504_C03_011M","Renter-occupied housing units!!Margin of Error!!YEAR STRUCTURE BUILT!!1980 to 1999",
"S2504_C03_012E","Renter-occupied housing units!!Estimate!!YEAR STRUCTURE BUILT!!1960 to 1979",
"S2504_C03_012M","Renter-occupied housing units!!Margin of Error!!YEAR STRUCTURE BUILT!!1960 to 1979",
"S2504_C03_013E","Renter-occupied housing units!!Estimate!!YEAR STRUCTURE BUILT!!1940 to 1959",
"S2504_C03_013M","Renter-occupied housing units!!Margin of Error!!YEAR STRUCTURE BUILT!!1940 to 1959",
"S2504_C03_014E","Renter-occupied housing units!!Estimate!!YEAR STRUCTURE BUILT!!1939 or earlier",
"S2504_C03_014M","Renter-occupied housing units!!Margin of Error!!YEAR STRUCTURE BUILT!!1939 or earlier",
"S2504_C03_015E","Renter-occupied housing units!!Estimate!!ROOMS!!1 room",
"S2504_C03_015M","Renter-occupied housing units!!Margin of Error!!ROOMS!!1 room",
"S2504_C03_016E","Renter-occupied housing units!!Estimate!!ROOMS!!2 or 3 rooms",
"S2504_C03_016M","Renter-occupied housing units!!Margin of Error!!ROOMS!!2 or 3 rooms",
"S2504_C03_017E","Renter-occupied housing units!!Estimate!!ROOMS!!4 or 5 rooms",
"S2504_C03_017M","Renter-occupied housing units!!Margin of Error!!ROOMS!!4 or 5 rooms",
"S2504_C03_018E","Renter-occupied housing units!!Estimate!!ROOMS!!6 or 7 rooms",
"S2504_C03_018M","Renter-occupied housing units!!Margin of Error!!ROOMS!!6 or 7 rooms",
"S2504_C03_019E","Renter-occupied housing units!!Estimate!!ROOMS!!8 or more rooms",
"S2504_C03_019M","Renter-occupied housing units!!Margin of Error!!ROOMS!!8 or more rooms",
"S2504_C03_020E","Renter-occupied housing units!!Estimate!!BEDROOMS!!No bedroom",
"S2504_C03_020M","Renter-occupied housing units!!Margin of Error!!BEDROOMS!!No bedroom",
"S2504_C03_021E","Renter-occupied housing units!!Estimate!!BEDROOMS!!1 bedroom",
"S2504_C03_021M","Renter-occupied housing units!!Margin of Error!!BEDROOMS!!1 bedroom",
"S2504_C03_022E","Renter-occupied housing units!!Estimate!!BEDROOMS!!2 or 3 bedrooms",
"S2504_C03_022M","Renter-occupied housing units!!Margin of Error!!BEDROOMS!!2 or 3 bedrooms",
"S2504_C03_023E","Renter-occupied housing units!!Estimate!!BEDROOMS!!4 or more bedrooms",
"S2504_C03_023M","Renter-occupied housing units!!Margin of Error!!BEDROOMS!!4 or more bedrooms",
"S2504_C03_024E","Renter-occupied housing units!!Estimate!!COMPLETE FACILITIES!!With complete plumbing facilities",
"S2504_C03_024M","Renter-occupied housing units!!Margin of Error!!COMPLETE FACILITIES!!With complete plumbing facilities",
"S2504_C03_025E","Renter-occupied housing units!!Estimate!!COMPLETE FACILITIES!!With complete kitchen facilities",
"S2504_C03_025M","Renter-occupied housing units!!Margin of Error!!COMPLETE FACILITIES!!With complete kitchen facilities",
"S2504_C03_026E","Renter-occupied housing units!!Estimate!!VEHICLES AVAILABLE!!No vehicle available",
"S2504_C03_026M","Renter-occupied housing units!!Margin of Error!!VEHICLES AVAILABLE!!No vehicle available",
"S2504_C03_027E","Renter-occupied housing units!!Estimate!!VEHICLES AVAILABLE!!1 vehicle available",
"S2504_C03_027M","Renter-occupied housing units!!Margin of Error!!VEHICLES AVAILABLE!!1 vehicle available",
"S2504_C03_028E","Renter-occupied housing units!!Estimate!!VEHICLES AVAILABLE!!2 vehicles available",
"S2504_C03_028M","Renter-occupied housing units!!Margin of Error!!VEHICLES AVAILABLE!!2 vehicles available",
"S2504_C03_029E","Renter-occupied housing units!!Estimate!!VEHICLES AVAILABLE!!3 or more vehicles available",
"S2504_C03_029M","Renter-occupied housing units!!Margin of Error!!VEHICLES AVAILABLE!!3 or more vehicles available",
"S2504_C03_030E","Renter-occupied housing units!!Estimate!!TELEPHONE SERVICE AVAILABLE!!With telephone service",
"S2504_C03_030M","Renter-occupied housing units!!Margin of Error!!TELEPHONE SERVICE AVAILABLE!!With telephone service",
"S2504_C03_031E","Renter-occupied housing units!!Estimate!!HOUSE HEATING FUEL!!Utility gas",
"S2504_C03_031M","Renter-occupied housing units!!Margin of Error!!HOUSE HEATING FUEL!!Utility gas",
"S2504_C03_032E","Renter-occupied housing units!!Estimate!!HOUSE HEATING FUEL!!Bottled, tank, or LP gas",
"S2504_C03_032M","Renter-occupied housing units!!Margin of Error!!HOUSE HEATING FUEL!!Bottled, tank, or LP gas",
"S2504_C03_033E","Renter-occupied housing units!!Estimate!!HOUSE HEATING FUEL!!Electricity",
"S2504_C03_033M","Renter-occupied housing units!!Margin of Error!!HOUSE HEATING FUEL!!Electricity",
"S2504_C03_034E","Renter-occupied housing units!!Estimate!!HOUSE HEATING FUEL!!Fuel oil, kerosene, etc.",
"S2504_C03_034M","Renter-occupied housing units!!Margin of Error!!HOUSE HEATING FUEL!!Fuel oil, kerosene, etc.",
"S2504_C03_035E","Renter-occupied housing units!!Estimate!!HOUSE HEATING FUEL!!Coal or coke",
"S2504_C03_035M","Renter-occupied housing units!!Margin of Error!!HOUSE HEATING FUEL!!Coal or coke",
"S2504_C03_036E","Renter-occupied housing units!!Estimate!!HOUSE HEATING FUEL!!All other fuels",
"S2504_C03_036M","Renter-occupied housing units!!Margin of Error!!HOUSE HEATING FUEL!!All other fuels",
"S2504_C03_037E","Renter-occupied housing units!!Estimate!!HOUSE HEATING FUEL!!No fuel used",
"S2504_C03_037M","Renter-occupied housing units!!Margin of Error!!HOUSE HEATING FUEL!!No fuel used",
