PIN,Line#,Ngrhd,TypeDescr,MethodDescr,Acres,SqrFt,ActFrnt,EffFrnt,EffDpth,Cat,Value,ValMethod,SoilID,SiteRating,LandUnit,System,lrsn
P1850002014B,1,10010,City  Lot,32  Site Value (lump sum,0.1946,8475,75,75,113,20H,8035,Cost,,VP,AC,PV,954
F39400010040,1,30091,City  Lot,32  Site Value (lump sum,0.69,30056,100,100,301,20H,52000,Cost,,EX,AC,PV,701
F3740000006A,1,30090,City  Lot,32  Site Value (lump sum,0.1033,4500,90,90,50,20H,19300,Cost,,VP,AC,PV,4848
P1710029000A,1,10040,City  Lot,29  Per Square Foot (brea,0.74,32010,66,66,485,20H,27571,Cost,,EX,AC,PV,3834
P1550005001A,1,10010,City  Lot,32  Site Value (lump sum,0.79,34522,0,0,0,20H,37080,Cost,,EX,AC,PV,3482
F3200001002A,1,30090,City  Lot,32  Site Value (lump sum,0.08,3543.08,0,0,0,20H,11966,Cost,,VP,AC,PV,457
P00000341310,1,10010,City  Lot,32  Site Value (lump sum,0.41,17664,108,108,180,20,26910,Cost,,P,AC,PV,1018
P1580001002A,1,10030,City  Lot,29  Per Square Foot (brea,0.155,6750,50,50,135,20H,20425,Cost,,F,AC,PV,3543
P147500A0020,1,10049,City  Lot,29  Per Square Foot (brea,0.1771,7716,50,50,154,20H,8195,Cost,,F,AC,PV,20455
F3640001002A,1,30090,City  Lot,32  Site Value (lump sum,0.21,9064,103,103,88,20H,25800,Cost,,G,AC,PV,585
P00000342262,1,10010,City  Lot,32  Site Value (lump sum,0.21,9300,0,0,0,20H,2511,Cost,,VP,AC,PV,4711
P1790000037A,1,10010,City  Lot,32  Site Value (lump sum,0.3815,16617.46,130.19,130,127,20H,21528,Cost,,P,AC,PV,4713
P1710083000C,1,10030,City  Lot,29  Per Square Foot (brea,0.322,14025,85,85,165,20H,29453,Cost,,EX,AC,PV,4061
P15050010020,1,10030,City  Lot,29  Per Square Foot (brea,0.9551,41606,0,0,0,20H,47576,Cost,,,AC,PV,703257
P1710079000B,1,10030,City  Lot,29  Per Square Foot (brea,0.2583,11250,75,75,150,20H,26864,Cost,,G,AC,PV,4050
P1810006000A,1,10040,Primary Commercial/Indust,33  Per Acre (by site rat,15.99,696524,0,0,0,22,129519,Cost,,F,AC,PV,4177
P18100040000,1,10040,Primary Commercial/Indust,33  Per Acre (by site rat,15.5,0,0,0,0,22,125550,Cost,,F,AC,PV,4176
P1810002003A,1,10040,Primary Commercial/Indust,33  Per Acre (by site rat,1.23,0,0,0,0,22,9963,Cost,,F,AC,PV,4174
F3080003009A,1,30140,Primary Commercial/Indust,33  Per Acre (by site rat,2.5847,112590,0,0,0,22,48259,Cost,,G,AC,PV,1502
P00000040280,1,10049,Primary Commercial/Indust,33  Per Acre (by site rat,1.5788,68772,0,0,0,22,17051,Cost,,AV,AC,PV,51
